num_terms	num_terms_found	num_correct	num_wrong	gender_cat
4	3	3	0	2M
1	1	1	0	2M
3	2	1	1	1F
3	3	2	1	2F
1	1	0	1	1F
1	0	0	0	1F
5	5	5	0	2M
2	2	2	0	2M
2	1	1	0	2M
1	1	1	0	2F
1	0	0	0	1F
1	1	0	1	1F
3	2	2	0	2M
4	4	4	0	1M
2	2	2	0	2M
1	1	1	0	1M
1	0	0	0	1M
2	1	1	0	1M
1	0	0	0	1M
1	0	0	0	1M
1	0	0	0	1M
2	0	0	0	1M
1	0	0	0	1M
6	6	6	0	2M
1	0	0	0	1M
3	2	2	0	1M
1	1	1	0	1M
1	1	1	0	1M
3	0	0	0	1M
1	1	0	1	1M
2	0	0	0	1M
1	0	0	0	2M
1	1	1	0	2M
2	2	2	0	2M
2	2	2	0	2M
1	1	1	0	1M
1	0	0	0	1M
1	0	0	0	1M
7	3	3	0	2M
1	0	0	0	1M
1	1	1	0	1M
2	0	0	0	1M
1	1	1	0	2F
3	2	2	0	2M
2	2	2	0	2M
1	1	0	1	1F
1	1	1	0	2M
2	2	2	0	2M
1	1	0	1	1M
1	1	1	0	1M
1	0	0	0	1M
1	1	1	0	2M
1	0	0	0	1M
2	2	2	0	2M
1	0	0	0	1M
2	2	1	1	2F
1	0	0	0	1M
1	1	1	0	2M
1	1	1	0	1M
3	3	3	0	1M
2	1	1	0	2F
2	1	0	1	2M
1	0	0	0	2F
2	1	1	0	2M
1	0	0	0	1M
3	2	2	0	2M
1	1	1	0	1M
1	1	1	0	1M
1	0	0	0	2F
1	1	1	0	2F
1	0	0	0	2F
1	0	0	0	1F
2	1	1	0	2M
1	0	0	0	1M
1	1	1	0	1M
1	0	0	0	1M
1	0	0	0	1M
9	5	5	0	2M
1	0	0	0	1M
1	0	0	0	1M
1	1	1	0	1M
1	1	1	0	2M
1	0	0	0	1M
3	2	2	0	2F
1	0	0	0	1M
1	1	1	0	1M
4	4	4	0	2M
1	0	0	0	2M
1	1	1	0	1M
1	1	1	0	2M
1	0	0	0	1M
2	0	0	0	1M
3	2	2	0	2M
3	3	3	0	2M
1	1	1	0	1F
1	1	0	1	1F
2	2	2	0	2M
1	1	1	0	1M
1	1	1	0	1M
1	1	0	1	1F
3	1	0	1	1F
3	2	2	0	2F
2	0	0	0	2F
3	1	1	0	2M
3	2	0	2	2F
1	1	0	1	1F
3	2	2	0	2M
1	1	0	1	1F
3	3	2	1	2M
1	1	1	0	1F
2	2	0	2	1F
1	0	0	0	2F
1	1	0	1	1F
3	1	1	0	1M
2	1	0	1	1F
1	0	0	0	1F
1	0	0	0	1F
2	1	1	0	1M
2	2	2	0	1M
3	1	1	0	1M
2	2	2	0	2M
2	1	1	0	1M
2	2	0	2	1F
1	1	1	0	1M
2	0	0	0	2F
1	0	0	0	1F
1	0	0	0	2F
1	1	1	0	1M
2	2	2	0	2M
1	0	0	0	2M
1	1	1	0	1M
2	2	2	0	2M
1	1	1	0	2M
1	0	0	0	2M
1	1	1	0	1M
2	1	1	0	2M
3	3	3	0	2M
2	0	0	0	1M
2	1	0	1	1F
1	1	1	0	1M
2	2	2	0	2M
1	1	1	0	1M
1	1	1	0	1M
1	0	0	0	1M
1	0	0	0	2M
1	0	0	0	2M
1	0	0	0	1F
4	1	1	0	2F
1	0	0	0	1F
1	0	0	0	1F
2	2	0	2	2F
1	0	0	0	2M
2	1	0	1	1F
2	2	2	0	2M
3	3	3	0	2M
3	2	2	0	1M
1	0	0	0	1F
2	1	0	1	2M
1	0	0	0	2M
4	4	4	0	2M
3	3	3	0	2M
1	1	1	0	2M
1	1	1	0	2M
1	0	0	0	2M
5	3	3	0	1M
2	1	1	0	1F
3	3	3	0	1M
3	2	0	2	2M
2	2	2	0	1F
1	0	0	0	1M
6	6	6	0	1F
2	1	1	0	1F
2	0	0	0	1M
2	0	0	0	1M
1	1	1	0	2M
1	1	1	0	1M
1	0	0	0	1M
2	0	0	0	1M
1	1	1	0	2F
1	1	1	0	2M
1	1	1	0	1M
4	2	2	0	1M
1	0	0	0	1M
1	1	1	0	1M
3	2	1	1	2M
2	1	1	0	2M
3	2	1	1	1M
1	0	0	0	1M
3	3	2	1	2M
1	1	1	0	2M
1	0	0	0	1F
2	2	0	2	1F
1	1	0	1	1F
1	0	0	0	1F
4	4	4	0	1M
2	1	0	1	2F
4	3	3	0	2F
4	3	3	0	2M
1	1	1	0	2F
1	0	0	0	2F
1	0	0	0	2M
3	2	0	2	1F
1	0	0	0	1F
2	2	0	2	1F
1	1	0	1	1F
2	2	0	2	2F
3	1	1	0	2F
1	1	1	0	2F
1	1	1	0	1M
2	1	1	0	2M
2	2	2	0	1M
3	3	3	0	2M
3	2	2	0	2M
3	2	1	1	2F
2	1	1	0	1M
3	1	1	0	1M
1	0	0	0	2F
1	0	0	0	2F
1	0	0	0	2M
1	1	1	0	2F
1	1	1	0	2F
3	3	3	0	1M
1	0	0	0	1M
1	1	1	0	2M
2	0	0	0	1M
10	3	1	2	2F
2	0	0	0	1M
1	0	0	0	1M
1	0	0	0	1M
3	1	1	0	2M
1	0	0	0	1M
1	1	0	1	1M
3	3	3	0	2M
1	1	0	1	1M
3	2	2	0	2M
3	2	2	0	2M
2	1	1	0	2M
1	1	1	0	2M
1	1	1	0	1M
1	1	1	0	1M
1	1	1	0	2M
2	1	0	1	1F
1	0	0	0	1M
3	3	3	0	2M
3	0	0	0	2F
2	2	2	0	2M
3	3	3	0	2M
1	0	0	0	2M
1	1	1	0	2F
2	1	1	0	2F
1	1	1	0	1M
2	1	1	0	2M
1	0	0	0	1M
1	1	1	0	1M
1	0	0	0	1F
2	0	0	0	1F
2	0	0	0	1F
1	1	0	1	1F
1	1	1	0	1M
1	1	1	0	1M
1	0	0	0	1M
1	1	1	0	2F
2	1	1	0	2M
1	0	0	0	1M
1	0	0	0	1M
2	2	2	0	2M
1	1	0	1	2F
2	0	0	0	1M
2	2	2	0	2M
2	2	2	0	2M
1	0	0	0	1F
2	1	1	0	1F
1	0	0	0	1F
2	2	2	0	1M
1	1	1	0	1M
1	0	0	0	1M
1	1	1	0	1M
3	2	2	0	1M
1	1	1	0	1M
1	0	0	0	1M
2	2	2	0	1M
1	1	1	0	1M
1	1	1	0	2M
1	1	1	0	1M
2	2	2	0	2M
2	1	1	0	2M
2	2	2	0	2F
1	1	0	1	1F
1	1	1	0	2F
2	2	2	0	1F
1	1	0	1	1F
1	0	0	0	1F
2	2	2	0	1F
1	1	0	1	2F
7	3	3	0	2M
1	0	0	0	2M
1	0	0	0	2F
1	1	1	0	1M
2	2	2	0	2M
1	0	0	0	1F
1	0	0	0	1F
1	1	0	1	1F
2	2	2	0	2F
